,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
19,0.0001,0.3,32,64,6000,0.5873,0.6527,0.6673,0.5861,0.6391,0.6869
6,0.0001,0.3,128,16,8000,0.5783,0.6598,0.6707,0.5722,0.6353,0.688
10,0.001,0.3,64,32,6000,0.4749,0.746,0.754,0.5595,0.6227,0.6846
4,0.001,0.2,32,32,8000,0.4763,0.7397,0.7493,0.5802,0.6224,0.6882
12,0.0001,0.1,256,16,8000,0.5588,0.6853,0.6847,0.5771,0.6222,0.6722
3,0.001,0.3,32,32,6000,0.5044,0.7225,0.7316,0.5677,0.6218,0.69
13,0.001,0.3,256,64,2000,0.4479,0.7633,0.7695,0.5846,0.6188,0.6849
7,0.0001,0.3,32,16,6000,0.6021,0.6489,0.6629,0.5976,0.615,0.677
0,0.001,0.3,128,64,6000,0.2721,0.8727,0.8815,0.7511,0.61,0.6736
14,0.0001,0.1,64,16,2000,0.6239,0.6369,0.6571,0.6125,0.6078,0.6791
17,0.0001,0.1,128,16,2000,0.599,0.6352,0.6642,0.5952,0.6007,0.6807
5,0.001,0.3,256,32,2000,0.5044,0.7058,0.7255,0.5659,0.6001,0.6817
18,0.001,0.3,64,64,6000,0.4098,0.7862,0.7974,0.6164,0.5933,0.6677
2,0.001,0.1,256,32,4000,0.2172,0.9091,0.9142,0.7992,0.5924,0.6658
20,0.0,0.2,256,16,6000,0.6435,0.6264,0.6235,0.6301,0.5897,0.6483
1,0.0,0.1,256,64,8000,0.6035,0.6488,0.6641,0.5957,0.5891,0.679
11,0.0001,0.3,32,64,8000,0.5782,0.6632,0.6765,0.5813,0.5871,0.6745
15,0.0,0.2,64,64,6000,0.6461,0.6322,0.6272,0.638,0.5818,0.6401
16,0.001,0.2,256,32,8000,0.0727,0.9729,0.9745,1.2123,0.5755,0.6562
9,0.0,0.3,32,32,6000,0.6627,0.5773,0.5911,0.6475,0.5572,0.616
8,0.0,0.1,32,16,6000,0.6683,0.5217,0.5919,0.6573,0.499,0.6273
