,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
9,0.001,0.1,64,16,4000,0.0609,0.9872,0.9788,0.2635,0.9426,0.9042
6,0.0001,0.2,256,16,6000,0.1832,0.9509,0.9132,0.2429,0.942,0.9007
10,0.0001,0.3,64,64,8000,0.204,0.9485,0.906,0.2541,0.9397,0.8945
1,0.001,0.1,128,32,6000,0.0165,0.9978,0.9962,0.4997,0.9383,0.8958
7,0.001,0.2,128,64,2000,0.0716,0.9799,0.9646,0.2884,0.9326,0.8863
17,0.001,0.1,256,32,8000,0.0154,0.9975,0.9957,0.6768,0.9308,0.8844
11,0.0,0.1,256,32,4000,0.3006,0.9312,0.8731,0.3086,0.9289,0.8693
0,0.0,0.1,32,64,4000,0.5837,0.9343,0.8781,0.5855,0.9285,0.8676
12,0.0,0.3,256,32,4000,0.3055,0.9352,0.88,0.322,0.928,0.8678
5,0.0,0.2,64,64,6000,0.3717,0.9344,0.8776,0.3856,0.9278,0.8664
13,0.0001,0.1,128,32,2000,0.2574,0.936,0.8817,0.294,0.9276,0.8669
20,0.0,0.3,256,16,4000,0.3084,0.9363,0.8838,0.3293,0.9274,0.8684
14,0.0,0.2,128,16,2000,0.5336,0.9327,0.8773,0.5431,0.927,0.8676
18,0.0,0.1,32,16,6000,0.5161,0.9303,0.873,0.5178,0.927,0.8678
16,0.0,0.1,128,64,2000,0.5051,0.9383,0.8847,0.5146,0.9267,0.8644
2,0.0,0.1,32,32,6000,0.5283,0.9344,0.8788,0.5319,0.9265,0.8648
19,0.0,0.3,256,64,4000,0.3097,0.9339,0.8766,0.3243,0.9265,0.8639
4,0.0,0.1,64,32,8000,0.3252,0.9355,0.8802,0.3407,0.9264,0.8648
8,0.0001,0.2,32,16,4000,0.2784,0.934,0.8795,0.307,0.9262,0.8665
15,0.0001,0.3,256,16,2000,0.2819,0.9352,0.8818,0.3016,0.9242,0.8636
3,0.001,0.2,256,64,4000,0.0274,0.9929,0.9877,0.5032,0.918,0.8652
