,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
14,0.0001,0.1,128,32,4000,0.6487,0.6168,0.6197,0.6693,0.6206,0.5879
3,0.0001,0.3,128,32,8000,0.6429,0.5933,0.6265,0.6701,0.6095,0.5875
13,0.0001,0.1,128,64,8000,0.5977,0.6368,0.6803,0.6683,0.6059,0.6207
0,0.001,0.3,256,32,2000,0.6424,0.6197,0.6306,0.6722,0.5989,0.5931
2,0.0001,0.2,64,16,6000,0.6581,0.5561,0.6097,0.6661,0.5919,0.5974
11,0.0001,0.2,32,32,6000,0.6581,0.5595,0.6074,0.6695,0.591,0.5866
18,0.0001,0.2,64,64,6000,0.6401,0.553,0.6285,0.6656,0.5823,0.6055
5,0.0001,0.3,64,16,4000,0.6681,0.5226,0.593,0.6727,0.5755,0.5919
16,0.001,0.1,128,32,8000,0.1715,0.9282,0.9322,1.4425,0.5736,0.5721
1,0.001,0.1,128,32,8000,0.1866,0.924,0.9283,1.3399,0.5559,0.5651
8,0.0001,0.1,256,32,8000,0.5939,0.6237,0.6789,0.6794,0.5531,0.5902
15,0.0001,0.2,256,64,4000,0.6348,0.5608,0.639,0.6672,0.5514,0.6
19,0.0001,0.3,64,64,2000,0.6672,0.4809,0.5919,0.6717,0.5386,0.588
4,0.0,0.2,256,16,2000,0.6864,0.4117,0.5418,0.6875,0.5206,0.5399
10,0.0001,0.1,128,16,2000,0.6668,0.4861,0.5965,0.6699,0.5143,0.5865
9,0.0,0.1,128,64,4000,0.6782,0.467,0.5738,0.6785,0.5098,0.5787
12,0.001,0.1,128,16,4000,0.6116,0.5571,0.6596,0.6754,0.5074,0.5876
17,0.0001,0.3,32,16,4000,0.678,0.4375,0.5723,0.6796,0.4849,0.5636
7,0.0,0.2,64,64,6000,0.6831,0.4157,0.5594,0.6821,0.4826,0.551
20,0.0,0.2,64,32,4000,0.6872,0.3325,0.5495,0.689,0.4577,0.5454
6,0.0,0.3,32,16,6000,0.6892,0.224,0.5325,0.6905,0.426,0.522
