,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
4,0.001,0.2,64,16,8000,0.5113,0.7186,0.7366,0.6145,0.6029,0.6689
17,0.0001,0.2,256,64,6000,0.4685,0.7254,0.757,0.6163,0.5964,0.6691
3,0.001,0.2,64,64,6000,0.4603,0.7214,0.7611,0.6451,0.5737,0.6497
2,0.0001,0.2,256,32,6000,0.5083,0.7189,0.7475,0.6071,0.573,0.6626
19,0.0001,0.1,256,32,8000,0.3699,0.8203,0.8385,0.6586,0.5598,0.6529
7,0.0001,0.2,256,16,8000,0.5287,0.6418,0.7149,0.594,0.5488,0.6676
1,0.001,0.3,256,32,2000,0.5383,0.6652,0.7171,0.5883,0.537,0.6665
6,0.0001,0.1,64,64,8000,0.5136,0.703,0.7399,0.6047,0.5367,0.6597
15,0.0001,0.2,64,32,8000,0.5733,0.5926,0.6763,0.6022,0.5346,0.6697
0,0.0,0.1,256,32,8000,0.6364,0.4292,0.6078,0.6512,0.3849,0.6366
8,0.0,0.3,256,64,8000,0.6393,0.4295,0.5995,0.6523,0.3797,0.6186
9,0.0001,0.3,32,16,2000,0.6831,0.1348,0.5675,0.6833,0.0697,0.5943
18,0.0,0.2,32,64,2000,0.6925,0.2415,0.5267,0.6918,0.0,0.581
16,0.0,0.1,32,64,8000,0.6866,0.0021,0.5267,0.6842,0.0,0.5775
10,0.0,0.3,64,16,6000,0.6909,0.0,0.5327,0.6886,0.0,0.5792
14,0.0,0.3,64,32,2000,0.6919,0.0,0.5231,0.6862,0.0,0.5886
13,0.0,0.2,32,64,6000,0.6904,0.0,0.5189,0.6855,0.0,0.5812
12,0.0,0.3,256,32,2000,0.69,0.0,0.5401,0.6876,0.0,0.5764
11,0.0,0.3,32,32,2000,0.6914,0.0,0.5284,0.6856,0.0,0.5836
5,0.0,0.3,64,64,4000,0.6892,0.0,0.5454,0.6888,0.0,0.5768
20,0.0,0.1,32,16,2000,0.69,0.0,0.5396,0.6854,0.0,0.5783
