,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
7,0.001,0.2,128,32,8000,0.2414,0.9456,0.902,0.224,0.9518,0.9148
3,0.001,0.1,64,16,8000,0.2365,0.9474,0.9072,0.2196,0.9504,0.9136
17,0.001,0.2,64,32,8000,0.2402,0.9489,0.9082,0.2304,0.9497,0.9114
18,0.0001,0.2,128,64,8000,0.2583,0.9481,0.9053,0.255,0.9424,0.8954
20,0.001,0.3,128,16,8000,0.289,0.9404,0.8943,0.2455,0.9408,0.8946
0,0.0001,0.2,128,64,8000,0.256,0.9452,0.9,0.2584,0.9404,0.8924
16,0.0001,0.1,128,16,6000,0.2593,0.9445,0.9005,0.258,0.9403,0.8945
14,0.001,0.2,32,16,6000,0.2715,0.94,0.8929,0.2639,0.939,0.8922
10,0.0001,0.1,256,16,6000,0.258,0.9423,0.8972,0.2621,0.9385,0.8916
12,0.0,0.2,32,64,8000,0.3988,0.9341,0.8772,0.4074,0.9319,0.8733
5,0.0,0.3,256,32,6000,0.3678,0.9379,0.8845,0.3848,0.931,0.8731
19,0.001,0.3,64,16,4000,0.2882,0.9385,0.891,0.2864,0.9301,0.8748
4,0.0,0.3,32,64,4000,0.4259,0.9353,0.8794,0.4639,0.9295,0.8693
8,0.0,0.3,128,64,4000,0.4017,0.9321,0.8738,0.4126,0.9286,0.8676
11,0.0,0.2,128,32,8000,0.3823,0.934,0.8781,0.3784,0.9283,0.8681
1,0.0,0.2,256,32,6000,0.3456,0.9366,0.8824,0.356,0.9281,0.8679
6,0.001,0.3,256,16,2000,0.2999,0.9425,0.8967,0.2916,0.9281,0.8703
13,0.0,0.3,128,64,8000,0.3772,0.9348,0.8784,0.3896,0.9264,0.8644
2,0.0,0.1,32,16,4000,0.4322,0.9343,0.88,0.4668,0.9262,0.8663
9,0.0001,0.1,32,16,2000,0.3393,0.9356,0.883,0.3447,0.9261,0.8668
15,0.0,0.2,256,32,4000,0.3658,0.9345,0.8788,0.373,0.9257,0.8638
