,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
10,0.001,0.2,128,32,6000,0.5656,0.6678,0.6789,0.564,0.6357,0.6863
6,0.001,0.2,256,16,6000,0.5848,0.6727,0.6472,0.5974,0.6322,0.6533
16,0.0,0.2,32,64,8000,0.6693,0.5242,0.5769,0.6747,0.6254,0.5948
1,0.0001,0.2,256,32,4000,0.6043,0.611,0.6446,0.6108,0.6151,0.6579
0,0.0001,0.1,64,32,6000,0.5836,0.6235,0.657,0.5949,0.6141,0.6744
18,0.001,0.2,256,64,2000,0.5697,0.6513,0.6553,0.5787,0.611,0.6685
5,0.0001,0.3,128,32,8000,0.5944,0.6437,0.6505,0.6194,0.608,0.6239
14,0.0001,0.1,32,64,6000,0.6073,0.6206,0.6532,0.5949,0.605,0.6635
8,0.0001,0.3,64,64,2000,0.6514,0.5805,0.5986,0.6544,0.6049,0.6288
13,0.0001,0.1,64,32,6000,0.5899,0.6292,0.6621,0.5869,0.6021,0.6748
9,0.0,0.3,32,64,6000,0.681,0.5033,0.5417,0.689,0.6002,0.5055
4,0.0001,0.1,32,32,4000,0.6209,0.598,0.635,0.6243,0.5983,0.6533
12,0.0,0.1,256,32,8000,0.6412,0.5772,0.6198,0.6418,0.598,0.6473
19,0.0001,0.1,128,32,4000,0.5851,0.6414,0.667,0.596,0.596,0.6594
2,0.0,0.2,256,32,6000,0.6571,0.5269,0.6006,0.6617,0.5781,0.6371
7,0.001,0.3,64,16,2000,0.6013,0.5776,0.6424,0.611,0.5724,0.6577
17,0.0,0.2,64,32,8000,0.6693,0.4665,0.5833,0.6681,0.5595,0.6234
20,0.0,0.1,128,16,8000,0.6638,0.4327,0.5861,0.6562,0.4291,0.6364
11,0.0,0.2,256,16,2000,0.6795,0.2904,0.5496,0.6749,0.3093,0.6101
3,0.0,0.3,64,64,4000,0.6784,0.3226,0.5524,0.6734,0.1137,0.5981
15,0.0,0.2,32,16,2000,0.6935,0.1412,0.5243,0.6821,0.0026,0.5837
