,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
16,0.001,0.1,128,32,8000,0.5802,0.6597,0.6443,0.5819,0.6431,0.6538
4,0.001,0.1,256,64,8000,0.567,0.6503,0.6635,0.5608,0.6277,0.6893
17,0.0001,0.2,128,16,8000,0.6464,0.6127,0.62,0.6503,0.6244,0.6243
14,0.0001,0.1,128,64,6000,0.6197,0.6473,0.6463,0.6155,0.616,0.641
7,0.001,0.2,256,32,2000,0.6158,0.6475,0.6386,0.6228,0.6147,0.635
3,0.001,0.3,64,32,6000,0.6217,0.641,0.6314,0.6214,0.6136,0.6391
13,0.0001,0.1,256,64,8000,0.6009,0.6426,0.6517,0.5887,0.6134,0.6677
11,0.0001,0.2,128,16,8000,0.646,0.5895,0.609,0.6441,0.606,0.6347
15,0.001,0.3,256,16,8000,0.6105,0.6105,0.6379,0.6161,0.5913,0.6481
19,0.001,0.1,32,32,4000,0.5971,0.6008,0.6367,0.5875,0.5766,0.6661
6,0.0001,0.1,128,32,2000,0.6493,0.562,0.6167,0.6416,0.5699,0.6416
18,0.0001,0.2,256,16,8000,0.6361,0.5696,0.6133,0.6398,0.566,0.63
20,0.001,0.1,32,32,8000,0.5957,0.5966,0.6496,0.5773,0.5635,0.6752
2,0.0001,0.3,128,32,4000,0.6554,0.5772,0.599,0.6619,0.563,0.616
5,0.0001,0.3,256,64,2000,0.6552,0.558,0.5995,0.6605,0.5333,0.6233
12,0.0001,0.2,128,32,2000,0.6607,0.5276,0.583,0.6642,0.5136,0.6104
8,0.0,0.1,64,16,2000,0.7158,0.4464,0.5212,0.6869,0.4627,0.5502
1,0.0,0.2,256,16,4000,0.6857,0.4645,0.5539,0.6681,0.453,0.6261
10,0.0,0.2,256,64,2000,0.6881,0.4514,0.5541,0.6637,0.4407,0.625
9,0.0,0.2,32,16,6000,0.6959,0.3896,0.5253,0.6853,0.3614,0.5854
0,0.0,0.1,32,64,2000,0.7017,0.2977,0.5286,0.6816,0.1664,0.5534
