,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
2,0.0001,0.1,256,64,6000,0.1853,0.9561,0.9219,0.2115,0.9551,0.9205
9,0.001,0.2,32,64,6000,0.1838,0.9584,0.9267,0.1947,0.9528,0.9189
17,0.001,0.1,128,16,6000,0.1978,0.9534,0.9177,0.2284,0.9511,0.9147
11,0.001,0.3,32,64,4000,0.2258,0.9504,0.9108,0.2148,0.9492,0.9109
1,0.001,0.3,128,64,2000,0.2345,0.9462,0.9033,0.2238,0.9485,0.9086
16,0.0001,0.1,128,64,4000,0.2171,0.9517,0.9129,0.2376,0.9454,0.9018
20,0.0001,0.3,256,64,6000,0.2331,0.9473,0.9043,0.2322,0.942,0.8941
10,0.0001,0.1,64,64,2000,0.2503,0.9392,0.8878,0.2645,0.9332,0.8772
13,0.0,0.2,256,64,6000,0.3167,0.935,0.8788,0.3141,0.9302,0.8707
18,0.0,0.3,32,64,8000,0.3971,0.9342,0.8774,0.4046,0.9297,0.8693
15,0.0001,0.1,32,64,2000,0.2823,0.9363,0.8818,0.2869,0.9292,0.8688
0,0.0,0.2,256,64,2000,0.3732,0.9365,0.8814,0.3907,0.929,0.8681
5,0.0,0.1,32,32,6000,0.3776,0.9348,0.8795,0.4061,0.9286,0.8688
3,0.0,0.3,32,64,8000,0.3884,0.9349,0.8786,0.4058,0.9272,0.8652
4,0.0,0.2,128,32,4000,0.3825,0.9315,0.8733,0.3894,0.9271,0.8659
7,0.0,0.3,256,16,8000,0.3577,0.9327,0.8776,0.3683,0.9269,0.8683
6,0.0001,0.3,256,32,2000,0.2924,0.936,0.8833,0.2894,0.9269,0.8655
12,0.0001,0.2,128,16,2000,0.2911,0.9346,0.8812,0.2976,0.9264,0.8671
14,0.0,0.1,128,16,2000,0.3903,0.9325,0.8767,0.4078,0.9262,0.8662
19,0.0,0.1,128,16,8000,0.3229,0.9347,0.8807,0.3373,0.9259,0.8663
8,0.0,0.2,256,16,6000,0.3431,0.9354,0.8826,0.361,0.9238,0.8619
