,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
2,0.0001,0.2,256,16,8000,0.6673,0.5655,0.5942,0.6729,0.5875,0.5846
12,0.001,0.2,32,32,6000,0.6544,0.5633,0.6078,0.6723,0.5772,0.5873
5,0.001,0.2,32,32,2000,0.6756,0.5043,0.5743,0.6747,0.5663,0.5739
17,0.001,0.2,64,64,8000,0.5484,0.6969,0.7152,0.7723,0.5634,0.5633
13,0.001,0.1,32,32,6000,0.6411,0.5637,0.6289,0.6751,0.5472,0.5875
1,0.0001,0.2,64,64,8000,0.6646,0.5068,0.5964,0.6691,0.5376,0.5839
3,0.0001,0.2,256,32,8000,0.6566,0.512,0.6057,0.6719,0.5299,0.5883
14,0.001,0.1,64,64,6000,0.5075,0.7137,0.7438,0.7793,0.5267,0.5593
9,0.0001,0.3,32,16,6000,0.6845,0.3981,0.5506,0.6849,0.5251,0.5571
11,0.0,0.3,64,64,8000,0.6871,0.348,0.5436,0.6886,0.5166,0.5433
10,0.001,0.2,64,16,8000,0.6525,0.5303,0.6143,0.6763,0.5135,0.5739
7,0.001,0.3,64,64,6000,0.6296,0.58,0.6386,0.6939,0.5045,0.5675
0,0.0001,0.1,32,32,2000,0.6845,0.4355,0.5583,0.6839,0.5042,0.5529
16,0.001,0.3,256,16,2000,0.6844,0.5504,0.551,0.685,0.5039,0.5554
8,0.0,0.2,256,32,6000,0.6799,0.4718,0.5731,0.6789,0.491,0.5731
18,0.0001,0.2,256,32,8000,0.6575,0.4869,0.6097,0.6742,0.4865,0.5879
4,0.0001,0.1,32,64,6000,0.6715,0.4749,0.5891,0.6789,0.4529,0.5734
20,0.0,0.2,32,32,6000,0.6896,0.2674,0.5366,0.6894,0.3812,0.5374
19,0.001,0.3,32,16,2000,0.6796,0.3854,0.5672,0.6835,0.3286,0.5568
6,0.0,0.2,32,32,6000,0.6901,0.1087,0.5323,0.6906,0.1783,0.5336
15,0.0,0.3,32,16,2000,0.6909,0.0883,0.5297,0.6926,0.0022,0.5196
